date,areaType,areaCode,areaName,newCasesByPublishDate,newDeathsByDeathDate
"2020-07-27",utla,E06000030,Swindon,5,0
"2020-02-06",utla,E06000011,East Riding of Yorkshire,0,
"2020-02-05",utla,E06000011,East Riding of Yorkshire,0,
"2020-02-04",utla,E06000011,East Riding of Yorkshire,0,
"2020-05-10",utla,E06000038,Reading,0,2
"2020-11-13",utla,E09000031,Waltham Forest,105,0
"2020-02-03",utla,E06000011,East Riding of Yorkshire,0,
"2020-11-12",utla,E09000031,Waltham Forest,143,2
"2020-11-11",utla,E09000031,Waltham Forest,89,0
"2020-07-26",utla,E06000030,Swindon,9,1
"2020-07-25",utla,E06000030,Swindon,10,0
"2020-05-09",utla,E06000038,Reading,7,1
"2020-05-08",utla,E06000038,Reading,12,2
"2020-05-07",utla,E06000038,Reading,3,2
"2020-11-10",utla,E09000031,Waltham Forest,63,0
"2020-01-04",utla,E06000047,County Durham,0,
"2020-11-09",utla,E09000031,Waltham Forest,69,0
"2020-01-03",utla,E06000047,County Durham,0,
"2020-10-14",utla,E06000040,Windsor and Maidenhead,31,0
"2020-02-02",utla,E06000011,East Riding of Yorkshire,0,
"2020-11-08",utla,E09000031,Waltham Forest,60,0
"2020-02-01",utla,E06000011,East Riding of Yorkshire,0,
"2020-03-14",utla,E08000001,Bolton,0,
"2020-12-13",utla,E10000029,Suffolk,99,6
"2020-11-07",utla,E09000031,Waltham Forest,72,0
"2020-11-06",utla,E09000031,Waltham Forest,67,1
"2020-10-13",utla,E06000040,Windsor and Maidenhead,21,0
"2020-10-12",utla,E06000040,Windsor and Maidenhead,19,0
"2020-10-11",utla,E06000040,Windsor and Maidenhead,13,1
"2020-03-13",utla,E08000001,Bolton,0,
"2020-06-25",utla,E08000037,Gateshead,0,0
"2020-10-10",utla,E06000040,Windsor and Maidenhead,20,0
"2020-03-12",utla,E08000001,Bolton,0,
"2020-06-24",utla,E08000037,Gateshead,0,0
"2020-06-23",utla,E08000037,Gateshead,0,1
"2020-11-05",utla,E09000031,Waltham Forest,58,0
"2020-09-23",utla,E09000003,Barnet,19,0
"2020-11-04",utla,E09000031,Waltham Forest,70,0
"2020-11-03",utla,E09000031,Waltham Forest,42,0
"2020-11-02",utla,E09000031,Waltham Forest,88,0
"2020-09-16",utla,E08000025,Birmingham,144,1
"2020-11-01",utla,E09000031,Waltham Forest,64,0
"2020-06-22",utla,E08000037,Gateshead,0,1
"2020-09-15",utla,E08000025,Birmingham,155,0
"2020-10-31",utla,E09000031,Waltham Forest,61,0
"2020-07-17",utla,E06000009,Blackpool,0,1
"2020-10-30",utla,E09000031,Waltham Forest,79,0
"2020-07-16",utla,E06000009,Blackpool,1,0
"2020-09-22",utla,E09000003,Barnet,14,1
"2020-07-15",utla,E06000009,Blackpool,0,1
"2020-07-14",utla,E06000009,Blackpool,1,1
"2020-09-21",utla,E09000003,Barnet,8,1
"2020-11-12",utla,E06000052,Cornwall and Isles of Scilly,83,2
"2020-02-07",utla,E06000054,Wiltshire,0,
"2020-11-11",utla,E06000052,Cornwall and Isles of Scilly,57,1
"2020-11-10",utla,E06000052,Cornwall and Isles of Scilly,42,1
"2020-02-06",utla,E06000054,Wiltshire,0,
"2020-09-20",utla,E09000003,Barnet,7,1
"2020-11-09",utla,E06000052,Cornwall and Isles of Scilly,67,1
"2020-02-05",utla,E06000054,Wiltshire,0,
"2020-11-08",utla,E06000052,Cornwall and Isles of Scilly,30,2
"2020-06-21",utla,E08000037,Gateshead,1,0
"2020-12-28",utla,E10000032,West Sussex,466,
"2020-11-07",utla,E06000052,Cornwall and Isles of Scilly,46,1
"2020-02-04",utla,E06000054,Wiltshire,0,
"2020-05-06",utla,E06000038,Reading,7,1
"2020-11-06",utla,E06000052,Cornwall and Isles of Scilly,63,0
"2020-11-05",utla,E06000052,Cornwall and Isles of Scilly,44,0
"2020-05-05",utla,E06000038,Reading,6,0
"2020-12-27",utla,E10000032,West Sussex,341,1
"2020-07-13",utla,E06000009,Blackpool,1,0
"2020-05-16",utla,E06000041,Wokingham,1,2
"2020-06-20",utla,E08000037,Gateshead,0,0
"2020-07-12",utla,E06000009,Blackpool,3,0
"2020-11-04",utla,E06000052,Cornwall and Isles of Scilly,77,0
"2020-12-26",utla,E10000032,West Sussex,681,2
"2020-06-19",utla,E08000037,Gateshead,0,0
"2020-05-15",utla,E06000041,Wokingham,3,1
"2020-12-25",utla,E10000032,West Sussex,441,4
"2020-11-03",utla,E06000052,Cornwall and Isles of Scilly,30,0
"2020-05-14",utla,E06000041,Wokingham,2,0
"2020-12-24",utla,E10000032,West Sussex,391,1
"2020-12-23",utla,E10000032,West Sussex,243,7
"2020-07-24",utla,E06000030,Swindon,4,1
"2020-12-22",utla,E10000032,West Sussex,283,6
"2020-07-23",utla,E06000030,Swindon,5,0
"2020-11-02",utla,E06000052,Cornwall and Isles of Scilly,45,2
"2020-05-13",utla,E06000041,Wokingham,1,0
"2020-12-21",utla,E10000032,West Sussex,284,7
"2020-07-22",utla,E06000030,Swindon,4,0
"2020-07-11",utla,E06000009,Blackpool,3,1
"2020-11-01",utla,E06000052,Cornwall and Isles of Scilly,43,0
"2020-05-12",utla,E06000041,Wokingham,1,0
"2020-07-10",utla,E06000009,Blackpool,1,0
"2020-05-04",utla,E06000038,Reading,5,1
"2020-07-21",utla,E06000030,Swindon,1,0
"2020-10-31",utla,E06000052,Cornwall and Isles of Scilly,39,0
"2020-07-20",utla,E06000030,Swindon,1,1
"2020-01-31",utla,E06000011,East Riding of Yorkshire,0,
"2020-07-19",utla,E06000030,Swindon,8,0
"2020-10-30",utla,E06000052,Cornwall and Isles of Scilly,46,0
"2020-10-29",utla,E06000052,Cornwall and Isles of Scilly,37,0
"2020-07-18",utla,E06000030,Swindon,1,0
"2020-10-28",utla,E06000052,Cornwall and Isles of Scilly,35,0
"2020-07-17",utla,E06000030,Swindon,3,0
"2020-12-12",utla,E10000029,Suffolk,110,4
"2020-12-11",utla,E10000029,Suffolk,137,10
"2020-10-29",utla,E09000031,Waltham Forest,76,0
"2020-06-18",utla,E08000037,Gateshead,0,1
"2020-10-27",utla,E06000052,Cornwall and Isles of Scilly,43,0
"2020-10-28",utla,E09000031,Waltham Forest,69,0
"2020-03-11",utla,E08000001,Bolton,0,
"2020-06-17",utla,E08000037,Gateshead,0,0
"2020-10-26",utla,E06000052,Cornwall and Isles of Scilly,37,0
"2020-10-09",utla,E06000040,Windsor and Maidenhead,32,0
"2020-10-08",utla,E06000040,Windsor and Maidenhead,31,0
"2020-01-30",utla,E06000011,East Riding of Yorkshire,0,
"2020-01-29",utla,E06000011,East Riding of Yorkshire,0,
"2020-10-07",utla,E06000040,Windsor and Maidenhead,37,0
"2020-12-10",utla,E10000029,Suffolk,119,7
"2020-01-28",utla,E06000011,East Riding of Yorkshire,0,
"2020-09-14",utla,E08000025,Birmingham,152,2
"2020-10-06",utla,E06000040,Windsor and Maidenhead,8,1
"2020-12-09",utla,E10000029,Suffolk,135,3
"2020-01-27",utla,E06000011,East Riding of Yorkshire,0,
"2020-03-10",utla,E08000001,Bolton,0,
"2020-01-26",utla,E06000011,East Riding of Yorkshire,0,
"2020-12-08",utla,E10000029,Suffolk,88,4
"2020-09-13",utla,E08000025,Birmingham,157,0
"2020-03-09",utla,E08000001,Bolton,0,
"2020-03-08",utla,E08000001,Bolton,0,
"2020-03-07",utla,E08000001,Bolton,0,
"2020-03-06",utla,E08000001,Bolton,0,
"2020-03-05",utla,E08000001,Bolton,0,
"2020-03-04",utla,E08000001,Bolton,0,
"2020-03-03",utla,E08000001,Bolton,0,
"2020-07-16",utla,E06000030,Swindon,2,0
"2020-03-02",utla,E08000001,Bolton,0,
"2020-10-05",utla,E06000040,Windsor and Maidenhead,16,1
