date,areaType,areaCode,areaName,newCasesByPublishDate,newDeathsByDeathDate
"2020-11-11",utla,E06000040,Windsor and Maidenhead,39,1
"2020-01-14",utla,E06000034,Thurrock,0,
"2020-11-10",utla,E06000040,Windsor and Maidenhead,19,1
"2020-07-11",utla,E06000041,Wokingham,2,0
"2020-01-13",utla,E06000034,Thurrock,0,
"2020-03-21",utla,E06000011,East Riding of Yorkshire,0,0
"2020-11-09",utla,E06000040,Windsor and Maidenhead,38,1
"2020-01-12",utla,E06000034,Thurrock,0,
"2020-04-08",utla,E06000054,Wiltshire,0,4
"2020-03-20",utla,E06000011,East Riding of Yorkshire,0,0
"2020-01-11",utla,E06000034,Thurrock,0,
"2020-11-08",utla,E06000040,Windsor and Maidenhead,31,2
"2020-11-07",utla,E06000040,Windsor and Maidenhead,31,0
"2020-11-06",utla,E06000040,Windsor and Maidenhead,29,2
"2020-07-10",utla,E06000041,Wokingham,1,2
"2020-11-05",utla,E06000040,Windsor and Maidenhead,51,2
"2020-02-19",utla,E06000047,County Durham,0,
"2020-11-04",utla,E06000040,Windsor and Maidenhead,39,0
"2020-02-18",utla,E06000047,County Durham,0,
"2020-11-03",utla,E06000040,Windsor and Maidenhead,31,0
"2020-02-17",utla,E06000047,County Durham,0,
